Album ID,Title,Artist ID,Release date,Album mins,Album secs,Tracks,Subgenre ID,Record label ID,Album type ID,US Billboard 200 peak,US Billboard 200 year end,Wiki URL,Cover art,US sales (m)
71,Trustfall,31,"Friday, February 17, 2023",43,37,13,5,15,1,2.0,,https://en.wikipedia.org/wiki/Trustfall,https://upload.wikimedia.org/wikipedia/en/e/e3/Pink_%E2%80%93_Trustfall_%28Official_Album_Cover%29.png,
103,Nadie Sabe Lo Que Va a Pasar Mañana,2,"Friday, October 13, 2023",81,18,22,16,2,1,1.0,,https://en.wikipedia.org/wiki/Nadie_Sabe_Lo_Que_Va_a_Pasar_Ma%C3%B1ana,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Bad_Bunny_-_Nadie_Sabe_Lo_Que_Va_a_Pasar_Ma%C3%B1ana.png/220px-Bad_Bunny_-_Nadie_Sabe_Lo_Que_Va_a_Pasar_Ma%C3%B1ana.png,
106,2020,3,"Friday, October 2, 2020",48,8,10,17,3,1,19.0,,https://en.wikipedia.org/wiki/2020_(Bon_Jovi_album),https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Bon_Jovi_-_Bon_Jovi_2020.png/220px-Bon_Jovi_-_Bon_Jovi_2020.png,
